# In the Columbia Basin every agency and group has a slightly different naming convention,,,,,,,,,,,,,,,,,,
# This file is THE definitive source to lookup naming conventions,,,,,,,,,,,,,,,,,,
# This is intended to be the master list that can be retrieved by scripts to convert between naming conventions if necessary,,,,,,,,,,,,,,,,,,
# The first column is used to keep the file in order from upstream to downstream,,,,,,,,,,,,,,,,,,
#The # character can be used to denote a comment line,,,,,,,,,,,,,,,,,,
"#You can add additional columns with no problem or rearrange the columns, but don't rename them",,,,,,,,,,,,,,,,,,
"# Feel free to open this file in excel and apply the ""filter"" feature to sort through this list",,,,,,,,,,,,,,,,,,
OrderID,Modified_Flow_Code,CBT_Code,CBT_Name,CBT_Code_Lake,ResSim_Name,NWRFC_Code,USGS_Code,USGS_Name,,ResvOrderID,Modified Flow Code,CBT Code,CBT_Name,CBT_Code_Lake,ResSim_Name,NWRFC_Code,USGS_Code,USGS_Name
115,,HODO,Hood River at Tucker Bridge,,Columbia+Hood+Salmon,HODO3,14120000,Hood River at Tucker Bridge near Hood River OR    ,,,,,,,,,,
116,,HOCO,Columbia R @ Hood R OR,,Columbia+Hood+Salmon,,14113290,Columbia River at Hood River OR                    ,,,,,,,,,,
117,,UNDW,White Salmon River,,Columbia+Hood+Salmon,UNDW1,14123500,White Salmon River near Underwood WA               ,,,,,,,,,,
140,SLM,SLMO,Salem,,Willamette_at Salem,SLMO3,14191000,Willamette River at Salem OR,,,,,,,,,,
144,,AURO,Pudding River at Aurora,,Wilamette+Molalla,AURO3,14202000,PUDDING RIVER AT AURORA OR ,,,,,,,,,,
149,SVN,ORC,Willamette River above Falls,,Willamette_abv Falls at Oregon City,ORCO3,14207770,Willamette River below Falls at Oregon City OR    ,,,,,,,,,,
150,,ESTO,Clackamas River at Estacada,,,ESTO3,14210000,Clackamas River at Estacada OR                     ,,,,,,,,,,
151,,OCYO,Clackamas River,,Clackamas_nr Oregon City,COCO3,14211010,Clackamas River near Oregon City OR                ,,,,,,,,,,
152,,TYCO,Tryon Cr ab Nettle Cr nr Lk Oswe,,,,14211315,Tryon Creek near Lake Oswego OR                ,,,,,,,,,,
153,,SYCO,Johnson Creek,,,SYCO3,14211500,Johnson Creek at Sycamore OR                       ,,,,,,,,,,
154,,PRTO,Portland,,Willamette_at Portland,PRTO3,14211720,Willamette River at Portland OR                ,,,,,,,,,,
155,,SNDO,Sandy R blw Bull Run nr Bull Run,,Columbia+Sandy,SNDO3,14142500,Sandy River blw Bull Run River nr Bull Run OR     ,,,,,,,,,,
156,,HSSW,East Fork Lewis River,,,HSSW1,14222500,East Fork Lewis River near Heisson WA              ,,,,,,,,,,
157,MER,MERW,Lewis River at Ariel,,Merwin,MERW1,14220500,Lewis River at Ariel WA                            ,,,,,,,,,,
158,MAY,MAY,MAY,,Mayfield,MAYW1,14238000,Cowlitz River below Mayfield Dam WA                ,,,,,,,,,,
159,,CASW,Cowlitz River at Castle Rock,,Cowlitz_at Castle Rock,CASW1,14243000,Cowlitz River at Castle Rock WA                    ,,,,,,,,,,
160,,NEWW,Newaukum River Near Chehalis,,,NEWW1,12025000,Newaukum River near Chehalis WA                ,,,,,,,,,,
161,,DOTW,Chehalis River Near Doty 1W,,,DOTW1,12020000,Chehalis River near Doty WA                    ,,,,,,,,,,
